teamname1,teamname2,kills1,kills2,baronkills1,baronkills2,death1,death2,dragonkills1,dragonkills2,golds1,golds2,assists1,assists2,towerkills1,towerkills2,scheduleid
Wayi,PE,9,24,0,0,24,9,0,0,32100,48300,14,54,12,8,14165
DFM,DP,21,18,1,2,18,22,4,2,78271,83020,62,45,8,9,12320
BKT,CHF,15,16,0,1,16,15,4,1,56952,64700,30,41,2,9,12321
IG,OMG,3,18,0,0,18,3,0,0,56400,69300,5,41,4,10,14166
OMG,LM,24,6,0,0,6,24,0,0,65800,46900,50,9,9,1,14167
DP,BKT,5,32,0,1,32,5,0,3,48353,65830,11,64,2,11,12322
RYL,PE,19,20,0,0,20,19,0,0,53400,55100,37,58,5,8,14169
DIG,CLG,21,6,1,0,6,21,2,1,62513,52118,45,11,9,5,13600
CHF,DFM,22,4,1,0,4,22,3,1,65526,45749,64,9,11,1,12323
TSM,TL,12,17,0,1,17,12,3,2,78072,77284,34,53,7,7,13601
DP,CHF,4,27,0,1,27,4,3,2,53841,68714,10,71,5,9,12324
BKT,DFM,40,22,2,0,22,40,1,3,78207,62793,110,53,11,2,12325
FOX,C9,4,17,0,1,17,4,0,2,44403,60910,10,42,2,10,13602
DIG,NRG,16,16,0,2,17,16,1,4,67307,77835,44,34,4,11,13597
S04,VIT,1,8,0,1,8,1,1,2,56649,67363,2,15,2,11,13712
GIA,FNC,1,14,0,0,14,1,0,0,34105,49039,3,29,1,11,13713
REN,NRG,6,16,0,1,16,6,0,3,57250,68210,14,37,3,11,14010
HR,PNG,12,23,0,2,23,12,2,5,76197,91508,37,75,4,11,12327
GIA,S04,11,6,1,0,6,11,0,2,70811,65242,32,9,8,6,13737
ROC,UOL,2,10,0,1,10,2,1,2,39349,53060,4,34,3,10,13715
VIT,UOL,16,6,1,0,6,16,3,0,58578,48673,52,12,10,3,13738
FOX,P1,14,6,1,0,6,14,2,3,66520,53604,36,17,9,2,13599
H2K,SPY,9,5,1,0,5,9,2,0,56014,42053,22,11,11,0,13716
OG,H2K,6,18,1,1,18,6,2,2,69459,76530,19,56,5,10,13739
P1,REN,15,23,0,1,23,15,1,4,63139,73011,38,74,4,10,13672
SPY,FNC,13,0,0,0,0,13,4,0,64129,50733,41,0,9,4,13740
HR,KLG,16,9,1,0,9,16,3,2,65216,54991,36,21,10,3,12328
ROC,G2,2,14,0,1,14,2,0,3,41300,54828,6,40,2,8,13741
BBQ,TSM,16,23,0,0,23,16,0,3,65600,71300,43,58,6,9,14351
PNG,KLG,8,12,3,0,12,8,7,0,83453,76314,10,24,11,3,12329
OG,RNG,4,16,0,1,16,4,1,2,48000,55400,8,39,5,7,14352
BBQ,RNG,6,17,0,0,17,6,0,3,49000,60700,11,43,2,8,14354
OMG,PE,24,10,0,0,10,24,0,0,74700,58000,67,30,9,3,14162
RYL,LM,6,20,0,0,20,6,0,0,39400,53700,18,56,2,9,14160
Wayi,WOA,23,24,0,0,29,24,0,0,62500,63000,58,79,5,9,14159
IMT,TSM,20,6,1,0,6,20,1,1,58686,45864,57,14,8,3,13674
WE,PE,17,5,0,0,5,17,0,0,45700,33900,44,13,7,3,14158
RYL,LM,25,5,0,0,5,25,0,0,42800,29000,48,7,8,2,14157
IG,RYL,21,6,0,0,6,21,0,0,51200,36900,47,14,11,1,14156
DIG,TL,9,15,0,2,15,9,0,3,61408,68783,14,31,4,10,13675
OMG,WOA,21,9,0,0,9,22,0,0,61700,48100,55,20,10,2,14155
PE,LM,19,8,0,0,9,20,0,0,58100,42500,47,19,11,2,14149
C9,FOX,15,0,1,0,0,15,3,0,66821,48635,37,0,9,2,13676
IG,WOA,16,5,0,0,5,16,0,0,49700,32100,23,15,10,4,14148
RYL,OMG,3,12,0,0,12,3,0,0,48300,56300,7,39,3,11,14150
