teamname1,teamname2,kills1,kills2,baronkills1,baronkills2,death1,death2,dragonkills1,dragonkills2,golds1,golds2,assists1,assists2,towerkills1,towerkills2,scheduleid
TSM,XDG,18,8,0,0,8,18,0,0,58241,42490,48,23,0,0,115
EG,XDG,3,23,0,1,23,3,0,4,37913,61056,9,54,1,10,120
CJE,KT,23,6,1,0,6,23,4,0,67744,46198,46,14,10,0,903
CRS,CST,16,7,1,1,7,16,3,1,66395,53143,43,17,7,4,121
XDG,C9,10,18,0,1,18,10,0,4,50644,67839,22,47,4,10,122
CLG,CST,11,4,1,0,4,11,3,1,56423,40353,27,12,11,1,426
DIG,C9,19,3,2,0,3,19,3,2,70375,54581,44,8,11,5,131
CLG,DIG,15,8,1,0,8,15,2,3,65739,54448,46,20,10,3,124
FNC,ROC,16,13,1,0,13,16,3,2,73179,61235,33,21,10,5,695
CRS,XDG,29,12,2,0,12,29,2,1,67382,52405,57,25,9,2,125
DIG,XDG,17,11,2,0,11,17,3,1,74202,58276,40,21,11,4,135
C9,CLG,17,12,1,0,13,17,4,0,60096,46637,36,17,9,5,126
EG,DIG,6,18,0,1,18,6,3,1,41415,52208,13,54,3,10,137
EG,CLG,16,3,1,0,3,16,4,0,59759,43125,33,6,10,2,128
FNC,ROC,13,22,1,2,22,13,4,2,79182,86629,38,58,5,10,695
CLG,CRS,4,0,1,0,0,4,3,0,43145,29489,15,0,9,1,130
CST,EG,16,11,2,0,11,16,3,2,66937,53464,23,25,10,2,132
FNC,ROC,15,11,0,0,11,15,4,1,73639,58092,42,18,11,3,695
XDG,CST,4,13,0,2,13,4,0,4,47903,65582,8,24,3,9,134
ALL,FNC,16,7,2,0,7,16,4,1,68810,57041,39,10,10,6,696
KDM,JAG,7,17,0,1,17,7,1,4,51747,68773,14,35,3,11,904
SSG,SBE,12,8,1,0,8,12,5,0,56829,46553,30,24,11,3,2366
SKT,IMiracle,15,3,2,0,3,15,4,1,66024,44633,32,5,10,1,905
SSG,SBE,14,4,1,0,5,14,4,0,61763,44847,29,8,10,0,2366
ALL,FNC,7,19,0,1,19,7,3,2,58463,70778,14,46,4,10,696
SKT,IMiracle,23,15,1,0,15,23,4,1,72834,57575,54,39,10,3,905
ALL,FNC,19,11,2,0,11,19,4,1,65254,51889,55,23,10,5,696
KT,SSG,9,2,1,0,2,9,4,0,61765,42662,23,7,10,0,906
WFX,T8,13,20,0,2,20,13,0,5,66948,77049,33,34,4,10,428
XDG,EG,11,16,1,1,16,11,0,5,56417,70287,17,30,3,10,139
TL,C9,3,20,0,2,20,3,1,3,43614,63332,2,47,2,10,429
C9,CRS,14,5,1,0,5,14,4,0,62111,43976,37,12,9,1,141
KT,SSG,18,2,1,0,2,18,4,0,60845,42019,44,4,9,0,906
CST,C9,12,22,0,2,22,12,0,5,54452,78591,28,65,4,11,144
CLG,DIG,13,11,1,1,11,13,2,2,61148,57112,34,22,8,6,430
CRS,CLG,7,13,0,3,13,7,3,2,58578,74747,23,32,7,10,145
