scheduleid,name_1,name_2,name_1_win,name_2_win,name_1_country,name_2_country
1106,FW,AHQ,1,0,TW,TW
1093,AHQ,LGS,1,0,TW,TW
1092,MSE,AHQ,1,0,TW,TW
1117,HKE,AHQ,0,1,HK,TW
1112,AHQ,NGU,1,0,TW,TW
1098,AHQ,DOR,1,0,TW,TW
1086,AHQ,FW,0,1,TW,TW
1083,LGS,AHQ,0,1,TW,TW
1082,AHQ,MSE,1,0,TW,TW
1076,AHQ,HKE,0,1,TW,HK
1068,NGU,AHQ,0,1,TW,TW
1064,AHQ,DOR,1,0,TW,TW
1373,AHQ,SSW,0,1,TW,KR
1368,SSW,AHQ,1,0,KR,TW
1281,AHQ,FW,3,1,TW,TW
26167,NV,GMB,0,1,RU,RU
26124,M19,GMB,1,0,RU,RU
26160,GMB,ROX,1,0,RU,RU
26120,VP,GMB,1,0,RU,RU
26159,GMB,JSA,1,0,RU,RU
26116,GMB,VEG,1,0,RU,RU
26154,VS,GMB,1,0,RU,RU
26113,GMB,VP,0,1,RU,RU
26148,JSA,GMB,1,0,RU,RU
26108,ROX,GMB,0,1,RU,RU
26143,GMB,VS,0,1,RU,RU
26106,VEG,GMB,1,0,RU,RU
26129,GMB,M19,1,0,RU,RU
26099,GMB,NV,0,1,RU,RU
2235,FNC,GMB,1,0,EU,RU
2205,GMB,FNC,0,1,RU,EU
744,FNC,GMB,0,1,EU,RU
714,GMB,FNC,0,1,RU,EU
658,GMB,FNC,0,1,RU,EU
640,FNC,GMB,1,0,EU,RU
617,GMB,FNC,0,1,RU,EU
590,FNC,GMB,0,1,EU,RU
561,GMB,FNC,0,1,RU,EU
515,FNC,GMB,1,0,EU,RU
486,GMB,FNC,1,0,RU,EU
455,FNC,GMB,1,0,EU,RU
1360,GMB,NBS,1,2,RU,KR
1358,SSW,GMB,0,1,KR,RU
1353,GMB,FNC,0,1,RU,EU
1350,Team Mineski,GMB,0,1,PH,RU
1348,SSW,GMB,1,0,KR,RU
1347,FNC,GMB,1,0,EU,RU
1342,GMB,SSW,1,0,RU,KR
1339,GMB,Team Mineski,1,0,RU,PH
2172,FNC,GMB,1,0,EU,RU
2159,GMB,Team ALTERNATE,1,0,RU,PL
2137,Team ALTERNATE,GMB,0,1,PL,RU
2134,GMB,FNC,0,1,RU,EU
2129,FNC,GMB,1,0,EU,RU
2102,GMB,Team ALTERNATE,1,0,RU,PL
2083,Team ALTERNATE,GMB,0,1,PL,RU
2061,GMB,FNC,0,1,RU,EU
1267,GMB,FNC,2,3,RU,EU
1256,GMB,Against All Authority,1,0,RU,EU
1251,Dragonborns,GMB,0,1,EU,RU
1237,Against All Authority,GMB,0,1,EU,RU
1235,GMB,Dragonborns,1,0,RU,EU
1228,FNC,GMB,0,1,EU,RU
1214,Dragonborns,GMB,0,1,EU,RU
1205,GMB,FNC,0,1,RU,EU
1179,GMB,Against All Authority,1,0,RU,EU
1176,GMB,Dragonborns,1,0,RU,EU
1161,Against All Authority,GMB,0,1,EU,RU
1155,GMB,FNC,1,0,RU,EU
27390,G2,FNC,3,1,EU,EU
23515,FNC,MSF,2,1,EU,EU
23509,G2,FNC,2,1,EU,EU
23476,FNC,SPY,1,2,EU,EU
23472,FNC,VIT,2,1,EU,EU
23464,FNC,MSF,0,2,EU,EU
23450,G2,FNC,2,1,EU,EU
17177,G2,FNC,2,0,EU,EU
17159,FNC,SPY,0,2,EU,EU
17141,FNC,VIT,2,0,EU,EU
17131,FNC,G2,0,2,EU,EU
17115,SPY,FNC,0,2,EU,EU
17028,VIT,FNC,1,1,EU,EU
14963,G2,FNC,3,1,EU,EU
14961,VIT,FNC,1,3,EU,EU
13759,FNC,VIT,0,1,EU,EU
14740,SKT,FNC,3,0,KR,EU
14739,RNG,FNC,1,2,CN,EU
14362,Newbee,FNC,1,2,CN,EU
14359,FNC,Newbee,0,1,EU,CN
13740,SPY,FNC,1,0,EU,EU
13735,FNC,G2,1,0,EU,EU
13710,FNC,SPY,1,0,EU,EU
13704,G2,FNC,1,0,EU,EU
13689,VIT,FNC,1,0,EU,EU
13035,FNC,Newbee,1,2,EU,CN
12651,FNC,ROX,0,3,EU,KR
12452,FNC,IG,1,0,EU,CN
12412,FNC,IG,1,0,EU,CN
1817,SKT,FNC,3,2,KR,EU
1815,FNC,BJK,1,0,EU,TR
1813,SKT,FNC,1,0,KR,EU
1802,FNC,TSM,1,0,EU,US
1316,SKT,FNC,2,0,KR,EU
1312,FNC,SKT,0,1,EU,KR
1364,RYL,FNC,3,1,CN,EU
1355,FNC,Team Mineski,1,0,EU,PH
1351,FNC,SSW,1,0,EU,KR
1345,SSW,FNC,0,1,KR,EU
1341,Team Mineski,FNC,0,1,PH,EU
2149,FNC,Team ALTERNATE,1,0,EU,PL
2113,Team ALTERNATE,FNC,0,1,PL,EU
2110,FNC,Team ALTERNATE,1,0,EU,PL
2091,Team ALTERNATE,FNC,1,0,PL,EU
1255,Dragonborns,FNC,0,1,EU,EU
1240,FNC,Dragonborns,1,0,EU,EU
1232,FNC,Against All Authority,1,0,EU,EU
1216,Against All Authority,FNC,0,1,EU,EU
1210,Dragonborns,FNC,0,1,EU,EU
1192,Against All Authority,FNC,0,1,EU,EU
1182,FNC,Dragonborns,1,0,EU,EU
1172,FNC,Against All Authority,1,0,EU,EU
20760,FNC,aAa,2,1,EU,EU
20530,FNC,aAa,2,1,EU,EU
20529,Epik,FNC,0,2,US,EU
20517,Epik,FNC,1,0,US,EU
20514,aAa,FNC,1,0,EU,EU
20513,FNC,PCFC,1,0,EU,PH
1470,DNL,TFX,1,0,US,US
1495,DNL,AG,1,0,US,US
2313,ODY,FCN,2,1,US,US
1497,DNL,TG,1,0,US,US
2303,TLA,CLB,0,2,US,US
2293,DRK,BWL,2,1,US,US
1473,RAO,XVT,0,1,US,US
1507,Tie Kurie Tiki,HB,0,1,EU,EU
1559,ADV,HB,0,1,EU,EU
2295,CON,AFN,2,1,US,US
1474,FFG,XVT,1,0,US,US
1528,NIP-2,TTD,2,0,EU,EU
1525,TTD,SGC,2,1,EU,EU
1511,TTD,T4N,0,1,EU,EU
1510,TTD,Team Champions.lt,1,0,EU,EU
